Process-Name,Time-Taken,Avg-CPU-usage,Agv-Memory-usage,Avg-Swap-usage
'Read_Write', '10.472761392593384', '0.329', '52.83200000000001'
'copy_test', '10.202366828918457', '0.10500000000000001', '96.11599999999999'
'Compression', '10.775929927825928', '0.7050000000000001', '85.32499999999999'
'Extraction', '12.11820101737976', '0.1708333333333333', '86.62166666666667'
'Hashing', '3.709702968597412', '95.35000000000001', '43.43'
'Encryption', '5.8399858474731445', '33.408', '65.85600000000001'
'Decryption', '5.364670276641846', '14.064000000000002', '96.746'
'Sorting', '31.49593758583069', '99.35225806451614', '47.60387096774191'
'Random_Algorithm', '7.073138475418091', '99.71571428571428', '42.462857142857146'
'Integer_Test', '19.692208766937256', '99.42105263157895', '42.47263157894737'
'Float_Test', '3.267435073852539', '96.35000000000001', '53.39666666666667'
